"Manufacturer Name","Model Name","HardWare Number","FirmWare Number","Application Number","Approval Number","Version","Approval Class","Product Type","Expiry Date","PIN Support","PIN Key Management","SRED Key Management","Prompt Control","PIN Entry Technology","Functions Provided","Approved usage","Remote-managed HSM","Supports ISO Format 4 (AES) PIN Blocks","Interface Isolation","Not Marketed"
"Windcave Limited",BRF210F," BRF210F-D-xx-xx SCR200MO-B-xB-xx"," PXSCR200MOB v1.1.xx.xx (slave mode), WBRF210FD v1.1.xx.xx (slave mode), WBRF210FDi v1.3.xx.xx (standalone mode),PXSCR200MOBi v1.3.xx.xx (standalone mode),WBRF210FD v1.4.xx.xx (combined slave and standalone modes)WBRF210FD v1.4.xx.xx (combined slave and standalone modes): 31 Dec 2026,WBRF210FDi v1.3.xx.xx (standalone mode): 31 Dec 2025,WBRF210FD v1.1.xx.xx (slave mode): 31 Dec 2025,PXSCR200MOBi v1.3.xx.xx (standalone mode): 31 Dec 2024,PXSCR200MOB v1.1.xx.xx (slave mode): 31 Dec 2024",,4-30478,6.x,SCR,OEM,"30 Apr 2031",N/A,"TDES:N/A; AES:N/A","TDES:DUKPT; AES:MK/SK; FPE:No",N/A,N/A,"CTLS,SRED",,,,,0
"Windcave Limited",CHU200M,CHU200M-C-xx-xx,"1.3.xx.xx1.3.xx.xx: 31 Dec 2024",,4-30483,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:DUKPT; AES:DUKPT","TDES:DUKPT; AES:N/A; FPE:No",Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Windcave Limited",CHU200MP,"CHU200MP-A-xx-xx CHU200MP-B-xx-xx",1.3.xx.xx,,4-30418,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:DUKPT; AES:Fixed",,Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"Windcave Limited",CHU200S,CHU200S-A-xx-xx,"1.3.xx.xx1.3.xx.xx: 31 Dec 2025",,4-30518,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:DUKPT; AES:DUKPT","TDES:DUKPT; AES:N/A; FPE:No",Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Windcave Limited","CHU200TP, CHU200T, CHU200TL"," CHU200T-A-0x-xx  CHU200T-A-Lx-xx  CHU200T-B-0x-xx  CHU200T-B-Lx-xx  CHU200T-B-Px-xx CHU200T-A-Px-xx CHU200T-B-Px-xx"," 1.4.xx.xx,1.3.xx.xx1.3.xx.xx: 31 Dec 2026,1.4.xx.xx: 31 Dec 2025",,4-30460,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:DUKPT; AES:DUKPT","TDES:DUKPT; AES:N/A; FPE:No",Vendor-controlled,"Physical Keypad","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"Windcave Limited",CMV300,CMV300-A-YL,1.3.X.XX,,4-40228,5.x,SCR,OEM,"30 Apr 2026",N/A,"TDES:N/A; AES:N/A",,Vendor-controlled,N/A,"Display,ICCR,MSR,SRED",,,,,0
"Windcave Limited",KLD200T," CHU200T-A-Lx-xx CHU200T-A-0x-xx",1.0.xx.xx,,4-30513,4.x,KLD,,"30 Apr 2032",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,,,No,No,,0
"Windcave Limited",SCR200F,SCR200F-A-XX-XX,"PXSCR200F v1.3.x.xx",,4-40238,5.x,SCR,OEM,"30 Apr 2026","Online & Offline","TDES:DUKPT; AES:Fixed,MK/SK",,Vendor-controlled,N/A,"ICCR,MSR,SRED",,,,,0
"Windcave Limited",SCR200F,SCR200F-B-xx-xx,"1.3.xx.xx,1.4.xx.xx1.4.xx.xx: 31 Dec 2026,1.3.xx.xx: 31 Dec 2025",,4-30507,6.x,SCR,OEM,"30 Apr 2031","Online & Offline","TDES:DUKPT; AES:DUKPT","TDES:DUKPT; AES:N/A; FPE:No",Vendor-controlled,N/A,"ICCR,MSR,SRED",,,Yes,,0
"Windcave Limited",SCR200F-VM,SCR200F-VM-A-xx-xx," <br />1.1.xx.xx,1.3.xx.xx",,4-30422,5.x,SCR,OEM,"30 Apr 2026","Online & Offline","TDES:DUKPT; AES:Fixed,MK/SK",,Vendor-controlled,N/A,"Display,ICCR,MSR,CTLS,SRED",,,,,0
"Windcave Limited",SCR200MO,"SCR200MO-A-xx-xx SCR200MO-B-xx-xx"," PXSCR200MO v1.1.x.xx (slave mode), PXSCR200MOB v1.1.xx.xx (slave mode),PXSCR200MOBi v1.3.xx.xx (stand alone mode),PXSCR200MOi v1.3.x.xx (stand alone mode)",,4-30389,5.x,SCR,OEM,"30 Apr 2026",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,"Display,CTLS,SRED",,,,,0
"Windcave Limited",SCR200VN,"SCR200VN-A-xx SCR200VN-B-xx","1.3.x.xx,1.3.xx.xx",,4-40259,5.x,SCR,OEM,"30 Apr 2026",N/A,"TDES:N/A; AES:N/A",,Vendor-controlled,N/A,"Display,ICCR,MSR,CTLS,SRED",,,,,0
"Windcave Limited","SKP200F-A-RM, SKP200F-A-FM"," SKP200F-A-FM-0x SKP200F-A-RM-0x",1.0.x.xx,,4-40247,5.x,EPP,OEM,"30 Apr 2026","Online & Offline","TDES:N/A; AES:MK/SK",,Vendor-controlled,"Physical Keypad",Display,,,,,0
"Wiseasy Technology Pte. Ltd.",P5,"   P4_xx_xx  P5_xx_xx P3_xx_xx P4_xx_xx"," A01.00_S2.84_xxxxxx,A01.00_S2.83_xxxxxxA01.00_S2.84_xxxxxx: 31 Dec 2025,A01.00_S2.83_xxxxxx: 31 Dec 2024",,4-90319,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK","TDES:MK/SK,DUKPT; AES:MK/SK; FPE:No",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
"WIZARPOS International Co., Ltd.","WIZARPOS Q2",1.0,1.0.x,,4-90025,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"WIZARPOS International Co., Ltd.","WIZARPOS Q3",1.0,1.0.xx-xxxx,,4-90126,5.x,PED,,"30 Apr 2026","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK",,Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,,,0
"WIZARPOS International Co., Ltd.","WIZARPOS Q3",1.0,1.0.xx-xxxx,,4-90355,4.x,KLD,,"30 Apr 2032",N/A,"TDES:N/A; AES:N/A",,N/A,N/A,"Display,OP",,,No,,0
"Worldline GmbH","ASM Crypton CS4, Crypton CS4b"," 4.00.5.x 4.00.4.2",4.00.5.x,"8.7b, 8.8b,8.10a",4-80064,3.x,HSM,,"30 Apr 2026",N/A,"TDES:Fixed,MK/SK,DUKPT; AES:Fixed,MK/SK,DUKPT",,N/A,N/A,,Unrestricted,No,Yes,,0
"Worldline ODEME SISTEM COZUMLERI A.S.",A910SF," A910SF-0xx-0x6-0xxx (without CTLS)  A910SF-1xx-0x6-0xxx (without CTLS)  A910SF-1xx-Rx6-0xxx (with CTLS) A910SF-0xx-Rx6-0xxx (with CTLS)","26.00.xx xxxxx 26.01.xx xxxxx26.00.xx xxxxx, 26.01.xx xxxxx: 31 Dec 2026",,4-90369,6.x,PED,,"30 Apr 2031","Online & Offline","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT","TDES:MK/SK,DUKPT; AES:MK/SK,DUKPT; FPE:Yes",Acquirer-controlled,"Touch Screen","Display,ICCR,MSR,CTLS,OP,SRED",,,Yes,,0
